n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,z,11,"['x', 'z', 'x', 'z']",0.01,normal,100000,30697,118,230,0,0.30697,0.0038440238459784837,16.002048279999144,2.129782404997968
4,z,11,"['x', 'z', 'x', 'z']",0.005,normal,100000,54445,50,97,0,0.54445,0.0009183579759389771,17.729773129998648,28.968692338999972
4,z,12,"['z', 'z', 'x', 'z']",0.01,normal,100000,72820,2,5,0,0.7282,2.746498214778459e-05,48.17906502800179,-21.720393085004616
4,z,12,"['z', 'z', 'x', 'z']",0.005,normal,100000,85135,0,1,0,0.85135,0.0,25.42040743400139,4.75568678199852
4,z,13,"['x', 'x', 'z', 'z']",0.01,normal,100000,29939,58,116,0,0.29939,0.00193727245398978,44.4563313969993,-15.252966338000988
4,z,13,"['x', 'x', 'z', 'z']",0.005,normal,100000,54347,28,57,0,0.54347,0.0005152078311589925,48.69605682399924,-23.161497039996902
4,z,14,"['z', 'x', 'z', 'z']",0.01,normal,100000,54129,0,1,0,0.54129,0.0,30.59471200199914,-0.44352891499875113
4,z,14,"['z', 'x', 'z', 'z']",0.005,normal,100000,73649,0,0,0,0.73649,0.0,31.972990715003107,-13.098144902003696
4,z,15,"['x', 'z', 'z', 'z']",0.01,normal,100000,40543,0,1,0,0.40543,0.0,40.76097613800084,-20.619333103000827
4,z,15,"['x', 'z', 'z', 'z']",0.005,normal,100000,63890,0,0,0,0.6389,0.0,36.875328596001054,-22.046915741000703
4,z,16,"['z', 'z', 'z', 'z']",0.01,normal,100000,35703,0,0,0,0.35703,0.0,4.56469331399785,-0.10394321799685713
4,z,16,"['z', 'z', 'z', 'z']",0.005,normal,100000,59963,0,0,0,0.59963,0.0,0.6229032889968948,0.010529174003750086
4,x,2,"['x', 'x', 'x', 'x']",0.01,m1,100000,31909,0,1,0,0.31909,0.0,22.739299469001708,0.956528624996281
4,x,2,"['x', 'x', 'x', 'x']",0.005,m1,100000,56575,0,0,0,0.56575,0.0,13.16461177599922,0.91179732800083
4,x,3,"['z', 'x', 'x', 'x']",0.01,m1,100000,47082,0,1,0,0.47082,0.0,20.912678163000237,1.1606607849971624
