n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,4,0.1,m1,anqi,2000000,0.0009405,2.057999999999997e-05,1.4849242404917477e-05,0.1109290729622468,2,0.031958617414606,0.0230593419298106,0.0008359999999999,1.176000000000002e-05,8.485281374238585e-06,0,2,56,40,48,1.0,0.0,1881,209.0,0,0,0,0,604.225713288004,"['x', 'z', 'x', 'x']"
4,x,4,0.1,m1,val,2000000,0.0009405,2.057999999999997e-05,1.4849242404917477e-05,0.4783979512228214,2,0.0124556833214612,0.0089872430009361,0.0004905,9.799999999999707e-07,7.071067811865264e-07,0,2,56,40,48,1.0,0.0,1881,209.0,1382,0,0,0,708.0148509229766,"['x', 'z', 'x', 'x']"
4,x,4,0.1,normal,anqi,3000000,0.000707,5.185672569686631e-06,4.582575694955869e-06,0.4790041638158983,3,0.006495782775315,0.0057403192866206,0.0003683333333333,3.637606050382293e-06,3.2145502536643283e-06,0,2,64,48,64,1.0,0.0,2121,1016.0,0,0,0,0,869.6970398100093,"['x', 'z', 'x', 'x']"
4,x,4,0.1,normal,val,3000000,0.000707,5.185672569686631e-06,4.582575694955869e-06,0.4868367163281038,3,0.0151366986893409,0.0133762914228569,0.0003628333333333,1.2579848082460212e-05,1.1116804097101532e-05,0,2,64,48,64,1.0,0.0,2121,269.0,1527,0,0,0,862.6331359719625,"['x', 'z', 'x', 'x']"
4,x,5,0.0001,m1,anqi,125000000,0.995524712,1.3096665214283036e-05,7.470671861656561e-05,0.0,125,0.0,0.0,0.995524712,1.3096665214283036e-05,7.470671861656561e-05,2,0,24,24,16,1.0,0.0,124440589,0.0,0,0,0,0,447.3580173497321,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,m1,val,2000000,0.995542,5.096000000010536e-05,3.67695526217765e-05,0.0,2,0.0,0.0,0.995542,5.096000000010536e-05,3.67695526217765e-05,2,0,24,24,16,1.0,0.0,1991084,0.0,0,0,0,0,8.304599923023488,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,normal,anqi,126000000,0.9935171587301588,1.4798555872153687e-05,8.475172330504704e-05,0.0,126,0.0,0.0,0.9935171587301588,1.4798555872153687e-05,8.475172330504704e-05,2,0,32,32,32,1.0,0.0,125183162,0.0,0,0,0,0,6978.948127163283,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,normal,val,3000000,0.9935103333333334,3.01384302474412e-05,2.6633312473948376e-05,0.0,3,0.0,0.0,0.9935103333333334,3.01384302474412e-05,2.6633312473948376e-05,2,0,32,32,32,1.0,0.0,2980531,0.0,0,0,0,0,181.71371741697652,"['z', 'z', 'x', 'x']"
4,x,5,0.005,m1,anqi,125000000,0.803606888,6.864689468736432e-05,0.0003915793953194,1.493184196557954e-07,125,7.117203129599261e-08,4.05983418557607e-07,0.803606768,6.86444861960291e-05,0.0003915656566705,2,0,24,24,16,1.0,0.0,100450861,15.0,0,0,0,0,3806.81671434053,"['z', 'z', 'x', 'x']"
4,x,5,0.005,m1,val,2000000,0.8037605,0.00070854,0.0005112382027978,6.531098331938557e-06,2,3.042414320668766e-06,2.1952161197183143e-06,0.80375525,0.0007060899999999,0.0005094704358448,2,0,24,24,16,1.0,0.0,1607521,0.0,21,0,0,0,74.6558865030529,"['z', 'z', 'x', 'x']"
