n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.001,normal,anqi,152631000000,0.8706471764608705,132888360918,2.942631470454869e-09,8.07566628541756e-06,2,5.826896319406463e-06,1.8049878003717775e-09,1.302366442450892e-09,0.8706471738988805,8.077237769219536e-06,5.828030203950241e-06,0,2,64,64,64,1.0,0.0,132888360918,272.0,0,0,0,0.0,1284100.3563507735
4,x,2,0.001,normal,val,45480000000,0.8706538837950748,39597338635,1.7046600182451883e-09,0.0,1,,0.0,,0.8706538823109059,0.0,,0,2,64,64,64,1.0,0.0,39597338635,0.0,135,0,0,72.08889524219558,1630492.9273209618
4,x,2,0.005,m1,anqi,2141000000,0.5545799621385902,1187564390,1.2931874842712441e-08,0.00015718109252995185,4,0.0001603888699285223,8.899232051235026e-09,9.080849031872477e-09,0.5545799549658955,0.0001571768627793076,0.00016038455385643634,0,2,56,56,48,1.0,0.0,1187564390,20.0,0,0,0,0.0,114481.54875883076
4,x,2,0.005,m1,val,759900000,0.554662896820161,421498084,1.1292154943208627e-06,2.5277767515573532e-05,2,1.8238857983182728e-05,2.203937667189885e-06,1.5902237446759469e-06,0.5546622705007257,2.650018142231758e-05,1.9120875496320948e-05,0,2,56,56,48,1.0,0.0,421498084,-60.0,129,0,0,44.33491790527478,19505.430788380556
4,x,2,0.005,m2,val,1052400000,0.6712318470551951,546710582,5.871479546375416e-07,0.0,1,,0.0,,0.5194890355378183,0.0,,0,2,56,56,48,0.8956619783352338,0.0,546710582,0.0,642,237911557,0,0.0,7247.386611904018
4,x,2,0.005,normal,anqi,2138000000,0.5018431248010984,1072965925,1.1239900734434237e-06,3.963568265216547e-05,3,3.502602864603415e-05,7.133014721062415e-08,6.30344076939635e-08,0.5018425607350809,3.965202192969875e-05,3.504046765564977e-05,0,2,64,64,64,1.0,0.0,1072965925,1238.0,0,0,0,0.0,421453.2913602554
4,x,2,0.005,normal,val,845000000,0.5018867096199524,424087314,7.446073678582464e-07,1.624914489318452e-05,2,1.1724367900462788e-05,1.1440357554466294e-06,8.25464735302231e-07,0.5018863359065717,1.567495645280581e-05,1.1310069390390632e-05,0,2,64,64,64,1.0,0.0,424087314,0.0,140,0,0,207.8804706661031,92103.36679824993
4,x,2,0.01,m1,anqi,20253000000,0.309367990690779,6265681417,6.536576975645815e-07,5.0463939268841074e-06,2,3.6411626186105745e-06,1.40591268811738e-08,1.0144187709428645e-08,0.309367788469992,5.042041184393775e-06,3.638021951537439e-06,0,2,56,56,48,1.0,0.0,6265681417,4140.0,0,0,0,0.0,2695180.0422658
4,x,2,0.01,m1,val,618900000,0.2955756278165019,174336455,2.161506653992076e-06,0.027397609479656318,2,0.01976840352180186,3.6780595944199337e-06,2.653858041655692e-06,0.29557496269654726,0.027396463114767372,0.01976757637650932,0,2,56,56,48,1.0,0.0,174336455,-1386.0,2876,0,0,98.79311243677512,28582.688645829166
4,x,2,0.01,m2,val,458400000,0.44699996834046185,124670477,3.689726798751239e-07,0.0,1,,0.0,,0.2719686540139616,0.0,,0,2,56,56,48,0.8192759665726943,0.0,124670477,-1241.0,2574,179495110,0,0.0,11239.16824135976
