n,lstate,i,p_error,sim_type,shots,prep_rate,count_accept,LER,eff,N_samples,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,3,0.8,m2,1950000,0.15806947494676135,137795,0.0,0.07066410256410256,39,0.03007111052480266,0.09581327808010695,0.0,0.0,0.015549795626276149,0.04954512375591772,1,2,112,112,96,0.7083768047337278,0.021448757141138485,0.0,0,1232108,0,0,353.8904732815354
5,x,3,1.0,m2,1950000,0.10271924261003064,74061,0.0,0.03798,39,0.021716075796384425,0.06919227034769829,0.0,0.0,0.009514184072487884,0.030314316576061612,1,2,112,112,96,0.6732416568047338,0.019490774200296924,0.0,0,1380554,0,0,273.6169093786666
5,x,5,0.0,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,2,1,80,80,64,1.0,0.0,0.0,0,0,0,0,0.8155356170027517
5,x,5,0.1,m2,1900000,0.9014461316084026,1534273,0.0,0.8075121052631579,38,0.022945433585345683,0.07216589392739774,0.0,0.0,0.03972194002678875,0.12492983843175022,2,1,80,80,64,0.9627114035087719,0.010583480995648587,0.0,0,212545,0,0,657.3738511416013
5,x,5,0.3,m2,1900000,0.644865978089366,906965,0.0,0.47734999999999994,38,0.08622432352572407,0.27118491190739835,0.0,0.0,0.0771633944802539,0.2426873007401511,2,1,80,80,64,0.8837384210526316,0.02451118067876914,0.0,0,662691,0,0,584.3496657213473
5,x,5,0.5,m2,1950000,0.5186420876955806,646663,0.0,0.3316220512820513,39,0.08447886555131184,0.26916854401781115,0.0,0.0,0.06294899177048409,0.20056955490197473,2,1,80,80,64,0.840177094017094,0.024969283769391656,0.0,0,934964,0,0,574.1620114877296
5,x,5,0.8,m2,1950000,0.4145611096549165,392580,0.0,0.2013230769230769,39,0.05638008362784985,0.1796395456150289,0.0,0.0,0.03680464695800962,0.1172678298900662,2,1,80,80,64,0.8050593162393163,0.01835692094634844,0.0,0,1140403,0,0,515.1794434692565
5,x,5,1.0,m2,1950000,0.3741189562100104,309181,0.00047483380816714147,0.15855410256410257,39,0.04529474894863808,0.14431919210316468,0.0009306742640075972,0.002965336181575687,0.023081900823550945,0.07354409410321734,2,1,80,80,64,0.7937497435897436,0.013077429280845173,0.0,1,1206564,0,0,455.33257624472026
5,x,9,0.0,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,3,0,48,48,32,1.0,0.0,0.0,0,0,0,0,1.0240811110124923
5,x,9,0.1,m2,117000,0.8335336842105263,91500,0.0,0.8335336842105263,19,0.029270381480540165,0.06509522189416278,0.0,0.0,0.029270381480540165,0.06509522189416278,3,0,48,48,32,1.0,0.0,0.0,0,0,0,0,31.85117861996855
5,x,9,0.3,m2,117000,0.6231378947368421,73904,0.0,0.6231378947368421,19,0.06005028049303917,0.1335475021430763,0.0,0.0,0.06005028049303917,0.1335475021430763,3,0,48,48,32,1.0,0.0,0.0,0,0,0,0,36.57543956281029
5,x,9,0.5,m2,117000,0.4526347368421052,65002,0.0,0.4526347368421052,19,0.06542252836082088,0.14549499477333772,0.0,0.0,0.06542252836082088,0.14549499477333772,3,0,48,48,32,1.0,0.0,0.0,0,0,0,0,31.28203263604837
5,x,9,0.8,m2,117000,0.31978736842105265,25674,7.86485041054519e-06,0.31978578947368425,19,0.05595708700487794,0.12444453440264083,1.541510680466857e-05,3.4282088145630865e-05,0.055957803887561504,0.12444612869813676,3,0,48,48,32,1.0,0.0,0.0,3,0,0,0,29.60062824700708
5,x,9,1.0,m2,117000,0.25067263157894737,28370,4.250995795765158e-06,0.2506715789473684,19,0.042156986144479845,0.09375410324899593,8.331951759699707e-06,1.852966108315659e-05,0.04215700246246409,0.09375413953901851,3,0,48,48,32,1.0,0.0,1.0,0,0,0,0,28.862308104134627
5,x,17,0.1,m2,117000,1.0,117000,0.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,16,16,0,1.0,0.0,0.0,0,0,0,0,56.09860033392977
5,x,17,0.3,m2,117000,1.0,117000,0.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,16,16,0,1.0,0.0,0.0,0,0,0,0,56.78517175392085
5,x,17,0.5,m2,117000,1.0,117000,0.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,16,16,0,1.0,0.0,0.0,0,0,0,0,59.32116044612064
5,x,17,0.8,m2,117000,1.0,117000,0.0,1.0,19,0.0,0.0,0.0,0.0,0.0,0.0,4,-1,16,16,0,1.0,0.0,0.0,0,0,0,0,62.07319627093432
5,x,17,1.0,m2,117000,1.0,117000,5.263157894736843e-07,0.9999994736842105,19,0.0,0.0,1.031578947368421e-06,2.294157338705618e-06,1.0315789473618173e-06,2.2941573386909316e-06,4,-1,16,16,0,1.0,0.0,0.0,1,0,0,0,78.9024827938415
