n,lstate,i,p_error,sim_type,N_samples,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,detect_normal,decoding_normal
3,x,6.0,0.3,m1,1125,0.0,112500000.0,107008680.0,88124.0,3304451.0,0.0,0.9511882666666667,0.00030924707569005163,0.005292072574637588,0.016255347285108638,0.00017483758132372408,0.002991954465776745,0.0,1613.6311453951967
3,x,6.0,0.3,normal,1125,0.0,112500000.0,106073519.0,145352.0,3365247.0,0.0,0.9428757244444446,0.0004127294147675606,0.00706294153878039,0.01722852712686228,0.00026857200273947815,0.004596009604429078,0.0,6725.45580827304
3,x,6.0,0.5,m1,1125,0.0,112500000.0,103538983.0,155700.0,5269209.0,0.0,0.9203465155555556,0.0004905213023076929,0.008394175839579535,0.026926855661075194,0.00028759956561754047,0.004921623819032385,0.0,2209.416417045817
3,x,6.0,0.5,normal,1125,0.0,112500000.0,102043382.0,249504.0,5346130.0,0.0,0.9070522844444444,0.0006552428189672483,0.011213016466678742,0.028628174933857414,0.00044079248728411574,0.00754317830769256,0.0,9947.690208205135
3,x,6.0,0.8,m1,1125,0.0,112500000.0,98589130.0,266241.0,7910635.0,0.0,0.8763478222222222,0.0007353331553184987,0.012583583582154903,0.042765655896768444,0.0004443117304330137,0.007603402289148832,0.0,3154.438224729849
3,x,6.0,0.8,normal,1125,0.0,112500000.0,96372536.0,411560.0,7967724.0,0.0,0.8566447644444445,0.0009718556076242819,0.016631136757364214,0.04558145950948523,0.000681889945714135,0.011669022488192198,0.0,9624.839737202026
3,x,6.0,1.0,m1,1125,0.0,112500000.0,95467061.0,344863.0,9477166.0,0.0,0.8485960977777778,0.0008823445840090025,0.015099355633338547,0.053165913563474824,0.0005443814031121661,0.009315871094736115,0.0,2840.0023921910433
3,x,6.0,1.0,normal,1125,0.0,112500000.0,92824564.0,522453.0,9505157.0,0.0,0.8251072355555555,0.0011530162594500248,0.01973129644356727,0.05678858675783145,0.0008354957969034808,0.014297643342792408,0.0,8856.235427215957
3,x,7.0,0.1,m1,1125,0.0,112500000.0,111820916.0,1758.0,883088.0,0.0,0.9939636977777778,3.6796646079629634e-05,0.0006296923620769362,0.003964234892114782,2.732402551260119e-05,0.00046758963111057246,0.0,327.253706270254
3,x,7.0,0.1,normal,1125,0.0,112500000.0,111958790.0,2835.0,1132134.0,0.0,0.9951892444444445,1.482226681110667e-05,0.000253649970690869,0.005081360471280306,1.9952500427850374e-05,0.00034144245365638065,0.0,1724.5211591989973
3,x,7.0,0.3,m1,1125,0.0,112500000.0,110481266.0,14934.0,2578782.0,0.0,0.9820556977777778,0.00010208751452143555,0.0017469996591116847,0.011804456238143938,7.835628938604161e-05,0.0013408927770293443,0.0,427.9283871446896
3,x,7.0,0.3,normal,1125,0.0,112500000.0,110884114.0,24748.0,3300145.0,0.0,0.9856365688888888,2.9626364344697686e-05,0.0005069890148029594,0.015104284024582866,5.34454487301322e-05,0.0009145994115960873,0.0,2535.922533985082
3,x,7.0,0.5,m1,1125,0.0,112500000.0,109166235.0,41251.0,4190879.0,0.0,0.9703665333333333,0.00016452048958861805,0.0028154004980486965,0.01956909158123491,0.00012686729186240508,0.002171050168818701,0.0,490.04533376917243
3,x,7.0,0.5,normal,1125,0.0,112500000.0,109828360.0,67483.0,5360618.0,0.0,0.9762520888888889,4.488493900809941e-05,0.0007681054192962419,0.02501907978094347,8.644622593797253e-05,0.001479333961190909,0.0,3137.18609738498
