n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,23,0.5,normal,na,val,190000,0.27482105263157897,52216,0.03157175772963829,0.0033019879408755256,19,0.056539539577525534,0.017518143027045865,0.03895908935376768,0.0033380715439720273,0.0074236308808586,0.0005488037364814432,0.0012205000138572127,0.006172856373421539,0.013727988328946665,0.26625,0.017207666557406243,0.038268612029529726,1,2,128,64,128,1.0,0.0,52216,169.0,2919,0,0,0,195.31343228000333
5,x,24,0.5,m1,na,val,190000,0.10472105263157895,19897,0.3175985144060071,0.03495628667538702,19,0.5652844554612403,0.035174160368357896,0.0782248012599824,0.05949906584930695,0.13232164044500053,0.025565399798106486,0.056855609271000675,0.09207148193477055,0.20476034966106918,0.08011315789473683,0.027496712868887236,0.06115071054848664,0,3,144,48,128,1.0,0.0,19897,267.0,8817,0,0,0,125.52660181601823
5,x,24,0.5,normal,na,val,190000,0.10775789473684211,20474,0.27947118183061087,0.02716139525063845,19,0.5046195731599448,0.02250085229670596,0.05004027617595732,0.03527691579756333,0.07845332193947557,0.011326306731004241,0.025188891042853066,0.05728565403577033,0.12739917186558972,0.08090263157894736,0.01699536255861036,0.03779646321521297,0,3,160,64,160,1.0,0.0,20474,426.0,9353,0,0,0,119.09244501696958
5,x,25,0.5,m1,na,val,190000,0.5336368421052631,101391,0.0024777372007707315,0.00031166470924337526,19,0.004332144983054713,0.10396972614678981,0.23122118850074252,0.002276588661935416,0.005062969343564776,0.000440713104283165,0.0009801142268696015,0.003783577625000047,0.008414404343069816,0.5331789473684211,0.10414153188183368,0.23160327209103687,3,0,48,16,32,1.0,0.0,101391,11.0,152,0,0,0,209.63174880003498
5,x,25,0.5,normal,na,val,190000,0.5029526315789474,95561,0.006130193841318669,0.001375676422383913,19,0.009509034837869511,0.10082834005885909,0.2242349719191432,0.003990132720967901,0.008873768011231662,0.0012008662320558137,0.0026706400766539572,0.005728842439056878,0.012740533293528575,0.5014157894736841,0.10132019037463597,0.2253288116241534,3,0,64,32,64,1.0,0.0,95561,57.0,470,0,0,0,221.23665511498984
5,x,26,0.5,m1,na,val,190000,0.10487368421052631,19926,0.11628990312331293,0.058389481609556614,19,0.11580084302751263,0.03208919727558358,0.07136406535898446,0.07142347118044905,0.15884065973085057,0.06377011454636927,0.14182014537022283,0.06672688561582876,0.1483957914370385,0.1010578947368421,0.03106466689439087,0.06908558352418537,0,3,144,80,128,1.0,0.0,19926,92.0,1266,0,0,0,122.40000455496192
5,x,26,0.5,normal,na,val,190000,0.08545789473684211,16237,0.09013719779116108,0.02266741832459243,19,0.1349395589331373,0.028453434777126464,0.06327839121944899,0.049144304820320714,0.10929339712364124,0.02026286147799021,0.04506314565791967,0.08187652063509017,0.1820874894372861,0.08237368421052631,0.02752941478320852,0.06122343725245951,0,3,160,96,160,1.0,0.0,16237,93.0,986,0,0,0,109.0668833340169
5,x,27,0.5,m1,na,val,190000,0.26733684210526315,50794,0.05144775884580676,0.0073197224399662265,19,0.08825607281168106,0.05904361507694344,0.13130875070495457,0.018991399816050445,0.04223550642578614,0.004059717824843522,0.009028520274379424,0.03019561818230051,0.06715288173183023,0.25814473684210526,0.057647460572537765,0.12820380356501915,1,2,112,48,96,1.0,0.0,50794,204.0,3085,0,0,0,181.36161133099813
5,x,27,0.5,normal,na,val,190000,0.2824684210526316,53669,0.03492785613643282,0.004305974449590788,19,0.06124376337368406,0.016563243156077184,0.03683546076256742,0.004158922835909348,0.009249145079445123,0.0008929172837512775,0.0019857837779656386,0.0069179635543684635,0.015385053075811011,0.2727078947368421,0.016349935488430486,0.03636107986095807,1,2,128,64,128,1.0,0.0,53669,228.0,3253,0,0,0,194.75118661797023
5,x,28,0.5,m1,na,val,190000,0.11253684210526316,21382,0.2654890945191706,0.022972051708828115,19,0.48503408562068495,0.025591129436234324,0.05691283013449716,0.025410361050470225,0.056510814254021303,0.004537799846418031,0.010091740283954381,0.04363156249415593,0.09703345492898224,0.0853157894736842,0.020060431544784967,0.044612956054863886,0,3,144,48,128,1.0,0.0,21382,419.0,9506,0,0,0,121.00225308802328
