n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,3,0.005,normal,834000000,0.60299380703125,3.576186437078473e-05,0.00025282190230035246,5.791286898340344e-07,192,5.503739690998954e-08,3.8909211332422943e-07,0.6029934578125,3.575923629768393e-05,0.00025280332288755004,1,1,48,48,48,502895246,22.0,531,0,0,236.15081583801657,89900.99400560647
4,x,3,0.01,m1,7900000,0.4462526582278481,0.00035684673158954173,0.0016182260854854485,3.417418072209148e-05,79,3.930469698357606e-06,1.7823866750188856e-05,0.4462374050632911,0.00035666381192638307,0.001617396582664579,0,2,56,-8,48,3525396,4.0,233,0,0,0.0,1560.4421894121042
4,x,3,0.01,m1,7900000,0.4462526582278481,0.00035684673158954173,0.0016182260854854485,3.417418072209148e-05,79,3.930469698357606e-06,1.7823866750188856e-05,0.4462374050632911,0.00035666381192638307,0.001617396582664579,0,2,56,-6,48,3525396,4.0,233,0,0,0.0,1560.4421894121042
4,x,3,0.01,m1,609000000,0.4087992061682243,0.0012999096681414902,0.015340304966445046,1.843411124170211e-05,535,6.450962397421072e-07,7.6128159462798404e-06,0.4087917576635514,0.0013000983799669004,0.015342531965000034,1,1,40,40,32,251718854,163.0,7948,0,0,69.81479557417333,25417.3629470191
4,x,3,0.01,m2,458400000,0.6616194045263145,5.9379678649882244e-05,0.0006511825579550966,2.083687902029626e-05,462,5.074395421818303e-07,5.564795677555973e-06,0.4025165541125541,4.574987520082118e-05,0.0005017123944886194,1,1,40,40,32,184514598,155.0,7359,179514522,0,0.0,8029.06828956306
4,x,3,0.01,normal,8100000,0.36628925925925926,0.0002812920109589945,0.0012916469890974238,4.398073385914069e-05,81,5.400585957529187e-06,2.479860898865443e-05,0.36627314814814815,0.00028119617094997753,0.001291206907423366,0,2,64,0,64,2966943,15.0,231,0,0,0.0,4219.843700376921
4,x,3,0.01,normal,8100000,0.36628925925925926,0.0002812920109589945,0.0012916469890974238,4.398073385914069e-05,81,5.400585957529187e-06,2.479860898865443e-05,0.36627314814814815,0.00028119617094997753,0.001291206907423366,0,2,64,2,64,2966943,15.0,231,0,0,0.0,4219.843700376921
4,x,3,0.01,normal,641000000,0.3442070488203267,0.0008378468943089828,0.01003423787274683,2.6140459520602966e-05,551,8.295209121213049e-07,9.934524086895398e-06,0.3441981238656987,0.0008380445135714444,0.010036604604307506,1,1,48,48,48,222631602,479.0,9574,0,0,362.9285886227153,79934.66740639826
4,x,4,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0,2,56,40,48,200,0.0,0,0,0,0.0,0.0540539309986342
4,x,4,0.0001,m1,7900000,0.9879777215189873,8.56602976392531e-05,0.0003884517241136741,5.765380974300369e-07,79,3.5683262746873035e-07,1.6181621262161339e-06,0.9879771518987343,8.565336254890626e-05,0.000388420274914029,0,2,56,-8,48,7805024,0.0,9,0,0,0.0,2204.0325533601426
