n,lstate,i,p_error,sim_type,comp_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,8,1.0,m1,init,13000000,0.5282316923076923,0.02048226554736082,0.03767849932075455,0.12694855681849096,13,0.010001931878622184,0.018399223592892935,0.4614343076923077,0.020473218130863603,0.037661855992136596,0,2,56,24,48,1.0,0.0,6867012,75142.0,1586448,0,0,0,2782.9805411038687
4,x,8,1.0,m1,na,13000000,0.5235377692307692,0.02117681977400296,0.038956178340013976,0.1300209357644207,13,0.008976999511529207,0.016513791856445786,0.45542626923076923,0.01881510944437086,0.0346116540077275,0,2,56,24,48,1.0,0.0,6805991,92480.0,1585939,0,0,0,3043.780559703824
4,x,9,0.1,m1,init,4465000000,1.0,0.0,0.0,4.4792833146696524e-10,4465,4.388222367659623e-10,1.4960402808121255e-08,0.9999999995520717,4.3882223661855585e-10,1.4960402803095848e-08,3,-1,8,8,0,1.0,0.0,4465000000,0.0,4,0,0,0,2100.7817125645233
4,x,9,0.1,m1,na,4465000000,1.0,0.0,0.0,6.71892497200448e-10,4465,5.373247940111319e-10,1.8318568850202887e-08,0.9999999993281075,5.373247942808894e-10,1.8318568859399504e-08,3,-1,8,8,0,1.0,0.0,4465000000,0.0,6,0,0,0,2042.0181603759993
4,x,9,0.3,m1,init,4466000000,1.0,0.0,0.0,3.952082400358262e-08,4466,4.227664022596755e-09,1.441463846003894e-07,0.999999960479176,4.2276640225123245e-09,1.441463845975107e-07,3,-1,8,8,0,1.0,0.0,4466000000,3.0,347,0,0,0,3846.84141242865
4,x,9,0.3,m1,na,4465000000,1.0,0.0,0.0,3.818589025755879e-08,4465,4.1819705752616405e-09,1.4257245667108716e-07,0.9999999618141097,4.1819705754301264e-09,1.425724566768312e-07,3,-1,8,8,0,1.0,0.0,4465000000,4.0,333,0,0,0,3874.723858467187
4,x,9,0.5,m1,init,4467000000,1.0,0.0,0.0,3.037832997537497e-07,4467,1.2769399003042263e-08,4.354340253918059e-07,0.9999996962167003,1.2769399003074498e-08,4.354340253929051e-07,3,-1,8,8,0,1.0,0.0,4467000000,19.0,2676,0,0,0,5596.080617801752
4,x,9,0.5,m1,na,4466000000,1.0,0.0,0.0,3.095611285266458e-07,4466,1.2873787397345874e-08,4.389445091953247e-07,0.9999996904388716,1.2873787397205711e-08,4.389445091905457e-07,3,-1,8,8,0,1.0,0.0,4466000000,20.0,2725,0,0,0,5720.521363424836
4,x,9,0.8,m1,init,4465000000,1.0,0.0,0.0,1.962374020156775e-06,4465,4.4844830285530076e-08,1.5288576300912836e-06,0.9999980376259797,4.484483028520674e-08,1.5288576300802603e-06,3,-1,8,8,0,1.0,0.0,4465000000,207.0,17110,0,0,0,7494.723792261328
4,x,9,0.8,m1,na,4466000000,1.0,0.0,0.0,1.9734661889834302e-06,4466,4.579649364506108e-08,1.5614767282891822e-06,0.9999980265338111,4.579649364521289e-08,1.5614767282943586e-06,3,-1,8,8,0,1.0,0.0,4466000000,238.0,17151,0,0,0,7547.477653927635
4,x,9,1.0,m1,init,4469000000,1.0,0.0,0.0,4.691989259342135e-06,4469,9.45081381031182e-08,3.223430517428651e-06,0.9999953080107407,9.450813810466034e-08,3.22343051748125e-06,3,-1,8,8,0,1.0,0.0,4469000000,537.0,40863,0,0,0,9112.721086301259
4,x,9,1.0,m1,na,4466000000,1.0,0.0,0.0,4.74294670846395e-06,4466,9.431473955534363e-08,3.2157542909664796e-06,0.9999952570532914,9.431473955550425e-08,3.2157542909719565e-06,3,-1,8,8,0,1.0,0.0,4466000000,551.0,41262,0,0,0,9133.167281921022
4,x,10,0.1,m1,init,13000000,0.9183413076923077,0.034130119459702575,0.0627846406886066,0.0004475920634616735,13,0.00012501903827506032,0.00022998089434179844,0.9179349615384615,0.034146535362260755,0.06281483884085483,0,2,56,40,48,1.0,0.0,11938437,87.0,10391,0,0,0,3160.2010376888793
4,x,10,0.1,m1,na,13000000,0.9337363076923076,0.0034504664029752353,0.0063473640511188785,0.0005007549081608929,13,0.00010862381244369952,0.00019982077831741938,0.9332686538461539,0.0034435877246769696,0.006334710261674073,0,2,56,40,48,1.0,0.0,12138572,88.0,11983,0,0,0,3227.964313430013
4,x,10,0.3,m1,init,13000000,0.8229979230769231,0.008791661546435906,0.01617285025622433,0.0017842957451877266,13,0.0002444096348517995,0.00044960789320183344,0.8215306153846154,0.008813047615817601,0.016212191363232663,0,2,56,40,48,1.0,0.0,10698973,740.0,36670,0,0,0,2980.616943119094
4,x,10,0.3,m1,na,13000000,0.8185680769230769,0.0067590693414103144,0.012433760757587502,0.0017533501238004299,13,0.00032330135358184486,0.0005947344937582933,0.8171320000000001,0.006720569475210688,0.012362937675097066,0,2,56,40,48,1.0,0.0,10641385,659.0,36020,0,0,0,2911.437708353973
4,x,10,0.5,m1,init,13000000,0.721879076923077,0.011636131387663042,0.021405443044007672,0.004367502619393219,13,0.0005415575961136583,0.0009962314701044963,0.7187298846153846,0.011657752971845013,0.021445217396265252,0,2,56,40,48,1.0,0.0,9384428,2271.0,77337,0,0,0,2982.0657341157785
4,x,10,0.5,m1,na,13000000,0.7123643076923076,0.013795293853107637,0.02537736701401672,0.004235095687886265,13,0.0009006504797331077,0.0016568068805862042,0.7093577307692308,0.013905528626690731,0.025580151263247846,0,2,56,40,48,1.0,0.0,9260736,2304.0,73563,0,0,0,2834.747042617062
4,x,10,0.8,m1,init,13000000,0.5635343846153846,0.03369698804198408,0.06198786643575025,0.010147621748964268,13,0.0036017684408634998,0.006625694283612926,0.5581685384615385,0.03465527392640631,0.0637506975035246,0,2,56,40,48,1.0,0.0,7325947,6000.0,127512,0,0,0,2907.157802021131
4,x,10,0.8,m1,na,13000000,0.5947086153846154,0.00981873313781506,0.01806221723902532,0.00772231564741906,13,0.0010500339867833546,0.0019316078471057457,0.5901293076923076,0.010027214176725118,0.01844573207359278,0,2,56,40,48,1.0,0.0,7731212,4090.0,110882,0,0,0,3020.2229839239735
